Recieved_data,Measured_data
3,5
4,6
5,7
6,8.5
7,9
8,10
9,10
9,11
10,11.5
10,12
11,13
12,14
13,15
14,16
15,17
16,18
17,19
18,20
19,21
20,22.1
21,23.5
22,24.2
23,25
24,26.2
25,27
26,27.7
27,28.8
28,30
29,30.7
30,31.6
31,32.9
32,33.4
33,34.1
34,35.1
35,36.1
36,36.8
37,37.5
38,38.9
39,39.7
40,40.6
41,41.8
42,42.7
43,44
44,44.6
45,45.5
46,46.4
47,47.3
48,48.3
49,49.2
50,50.6
51,51.4
52,52.5
53,53.1
54,54.4
55,55.7
56,56.5
57,57.3
58,58.6
59,59.3
60,60.4
61,62
62,63.2
63,64.6
64,65.5
65,66.6
66,67.2
67,68.3
68,69.3
69,70.5
71,71.7
72,73
73,74.1
74,74.8
75,75.7
76,77
77,78
78,79.4
79,80.1
80,81
81,82
82,83.2
83,84.2
84,85.7
85,85.9
86,87.2
87,87.9
88,89
89,90
90,91.2
91,92.2
93,94
94,95.1
95,96.5
96,98
97,98.5
98,99.7
99,100
100,102
101,103.5
102,105.5
103,107
104,106.5
105,108
106,108.6
107,109.7
108,111
109,112
112,114.2
114,115.5
116,117.6
118,119.1
119,120.9
121,122.4
123,124.1
124,125.9
126,127.4
126,129
129,131.2
131,133.1
133,135.1
134,137.2
135,138.7
135,141.1
119,143.4
138,143.8
143,145.1
144,147.3
150,149.1
152,151.5
155,153
157,155.7
158,157.2
159,158.1
